"id","GPA","QI","act","male","race","age","fulltime","PellEligible","firstgen","major","ftfy","motivation","work"
1435,1.67,47.5,23,0,1,18,1,0,1,3,1,30,1
1436,4,48,24,0,4,18,1,0,1,9,1,60,1
1437,3.33,54,22,1,6,18,1,0,1,2,1,37.5,0
1438,3.33,50,24,0,3,18,1,1,0,11,1,35,0
1439,4,40,20,0,4,18,1,0,0,7,1,35,0
1440,3.67,56,18,1,4,18,1,1,1,5,1,60,0
1441,4,50,30,0,4,19,1,0,0,4,0,22.5,1
1442,3.67,52,29,0,4,19,1,1,0,2,1,60,0
1443,4,8,32,1,4,18,1,1,0,2,1,25,1
1444,2,22.5,28,0,4,18,1,0,0,8,1,40,1
